Number of headquarters of authorized financial institutions,Number of branches of financial institutions,Number of banking service outposts of financial institutions,Number of electronic service outposts of financial institutions,Number of correspondents of financial institutions ,Number of ATMs of financial institutions,Number of POSs of financial institutions,Number of authorized credit unions ,Number of credit unions banking service outposts,Number of credit unions electronic service outposts,Number of credit unions correspondents,Number of branches of finance companies,Number of banking services outpost of finance companies,Number of electronic service outposts of finance companies,"Number of microentrepreneur, and small business credit companies correspondents",Adults with a banking relationship (million),Date,Região,Total invesment activity,Number Fintechs Brazil,Área,População
0.09600048906489149,0.7987240690198972,0.22272113463054827,0.8739884524467721,6.216991671842373,,,0.08755244602718104,0.10982455949023587,,0.0007680039125191319,0.0030720156500765278,,1.0682934423141126,0.012288062600306111,6.0,2005,Central-West,,,1612000.0,13020767.0
0.09570808040714669,0.8086202384005386,0.24416864607807504,0.9156324227927813,7.194685383047476,6.452382554692835,,0.08741840415140958,0.1175626814449991,,0.0022608207970192134,0.004521641594038427,,1.1183526875921708,0.03315870502294846,6.0,2006,Central-West,,,1612000.0,13269517.0
0.10057932937484351,0.8341278218079127,0.26921985907852847,0.9929372892418761,8.658140917387845,8.816194149262598,132.9409176600892,0.09226073822354067,0.12856004506558943,0.0015124711184186994,0.004537413355256098,0.004537413355256098,,1.3982795489780875,0.03327436460521139,7.0,2007,Central-West,,,1612000.0,13223393.0
0.10002961460706906,0.8367440754722713,0.35265915222784205,1.1441343510166222,9.48894066739759,8.729591768190641,170.6643952399338,0.0912678965392966,0.13726691639510208,0.003650715861571864,0.14821906397981768,0.004380859033886237,,2.3517911580245947,0.03139615640951803,7.0,2008,Central-West,,,1612000.0,13695944.0
0.09571530095445427,0.9038978796901846,0.39869380999073434,1.2543742072452164,10.619360758525769,9.255597635904033,185.2573248293047,0.08779899786799565,0.14609177514100916,0.005037647418655488,0.1842339627394007,0.004317983501704704,,2.3317110909205403,0.026627564927179007,8.0,2009,Central-West,,,1612000.0,13895375.0
0.09110099826765758,0.9323617791455581,0.42632420283067884,1.358685981976237,11.026779423131398,9.781969688989733,186.9299960000968,0.08398373277799683,0.15657984077253648,0.005693812391728599,0.19643652751463667,0.0042703592937964495,,2.15226108407341,0.015657984077253648,8.0,2010,Central-West,,,1612000.0,14050340.0
0.08354282222536737,0.9821546915402433,0.4450936915200244,1.6097789190148517,13.52059843057437,9.796975497100853,196.7356238949882,0.07652241699634489,0.17059584706524597,0.007020405229022467,0.23939581830966614,0.004914283660315728,0.0014040810458044936,2.2753133347261816,0.013338769935142688,9.0,2011,Central-West,,,1612000.0,14244192.0
0.07626203969619422,1.0232979144689334,0.5567128897822178,1.790078059050668,14.67558960262763,9.86414818906774,227.72538344553558,0.0693291269965402,0.18580206035072774,0.008319495239584824,0.2565177698871987,0.004853038889757814,0.002079873809896206,2.1145383733944763,0.015252407939238844,9.0,2012,Central-West,,,1612000.0,14423952.0
0.07003178976376677,1.075821684656722,0.5842652174577113,1.950218602564324,14.873418206971419,10.378711242990235,246.5825987276491,0.06336209550055089,0.2087614304386571,0.010671510821145412,0.24611171831266607,0.006669694263215883,0.002667877705286353,1.8248283504158656,0.018675143937004472,9.0,2013,Central-West,36483.22761979088,0.02601180762654194,1612000.0,14993191.0
0.0663617617483972,1.0828136966471147,0.6176243172623106,1.8469595274727182,12.342630638055855,10.473988554764354,263.42202768954365,0.06044833743418359,0.2214248882099986,0.010512754336379755,0.24967791548901916,0.006570471460237346,0.003285235730118673,1.7175212397060424,0.020368461526735774,10.0,2014,Central-West,91066.73443888962,0.041393970199495284,1612000.0,15219608.0
