Number of headquarters of authorized financial institutions,Number of branches of financial institutions,Number of banking service outposts of financial institutions,Number of electronic service outposts of financial institutions,Number of correspondents of financial institutions ,Number of ATMs of financial institutions,Number of POSs of financial institutions,Number of authorized credit unions ,Number of credit unions banking service outposts,Number of credit unions electronic service outposts,Number of credit unions correspondents,Number of branches of finance companies,Number of banking services outpost of finance companies,Number of electronic service outposts of finance companies,"Number of microentrepreneur, and small business credit companies correspondents",Adults with a banking relationship (million),Date,Região,Total invesment activity,Number Fintechs Brazil,Área,População
0.07754342431761786,0.6451612903225806,0.17990074441687345,0.705955334987593,5.021712158808933,,,0.0707196029776675,0.08870967741935484,,0.0006203473945409429,0.0024813895781637717,,0.8629032258064516,0.009925558312655087,6.0,2005,Central-West,,,1612000.0,13020767.0
0.07878411910669975,0.6656327543424317,0.20099255583126552,0.7537220843672456,5.922456575682382,5.311414392059554,,0.07196029776674938,0.0967741935483871,,0.0018610421836228288,0.0037220843672456576,,0.9205955334987593,0.02729528535980149,6.0,2006,Central-West,,,1612000.0,13269517.0
0.08250620347394541,0.68424317617866,0.22084367245657568,0.8145161290322581,7.102357320099256,7.232009925558312,109.05272952853598,0.07568238213399504,0.1054590570719603,0.0012406947890818859,0.0037220843672456576,0.0037220843672456576,,1.1470223325062034,0.02729528535980149,7.0,2007,Central-West,,,1612000.0,13223393.0
0.08498759305210918,0.7109181141439206,0.29962779156327546,0.9720843672456576,8.062034739454095,7.416873449131514,145.00062034739454,0.07754342431761786,0.11662531017369727,0.003101736972704715,0.1259305210918114,0.0037220843672456576,,1.998138957816377,0.026674937965260544,7.0,2008,Central-West,,,1612000.0,13695944.0
0.08250620347394541,0.7791563275434243,0.3436724565756824,1.0812655086848635,9.153846153846153,7.978287841191067,159.69106699751862,0.07568238213399504,0.1259305210918114,0.004342431761786601,0.1588089330024814,0.0037220843672456576,,2.009925558312655,0.02295285359801489,8.0,2009,Central-West,,,1612000.0,13895375.0
0.0794044665012407,0.8126550868486352,0.3715880893300248,1.18424317617866,9.611042183622828,8.52605459057072,162.92990074441687,0.07320099255583126,0.13647642679900746,0.004962779156327543,0.17121588089330025,0.0037220843672456576,,1.8759305210918114,0.013647642679900745,8.0,2010,Central-West,,,1612000.0,14050340.0
0.07382133995037221,0.8678660049627791,0.3933002481389578,1.4224565756823822,11.94727047146402,8.65694789081886,173.8424317617866,0.06761786600496278,0.15074441687344914,0.00620347394540943,0.21153846153846154,0.004342431761786601,0.0012406947890818859,2.010545905707196,0.011786600496277916,9.0,2011,Central-West,,,1612000.0,14244192.0
0.06823821339950373,0.9156327543424317,0.4981389578163772,1.6017369727047146,13.131513647642679,8.826302729528535,203.76550868486353,0.062034739454094295,0.1662531017369727,0.007444168734491315,0.22952853598014888,0.004342431761786601,0.0018610421836228288,1.8920595533498759,0.013647642679900745,9.0,2012,Central-West,,,1612000.0,14423952.0
0.06513647642679901,1.000620347394541,0.543424317617866,1.813895781637717,13.833746898263028,9.653225806451612,229.34615384615384,0.05893300248138958,0.19416873449131514,0.009925558312655087,0.22890818858560794,0.00620347394540943,0.0024813895781637717,1.6972704714640199,0.017369727047146403,9.0,2013,Central-West,33933.00248138958,0.024193548387096774,1612000.0,14993191.0
0.06265508684863523,1.022332506203474,0.5831265508684863,1.7437965260545907,11.653225806451612,9.888957816377172,248.70843672456576,0.05707196029776675,0.20905707196029777,0.009925558312655087,0.23573200992555832,0.00620347394540943,0.003101736972704715,1.6215880893300247,0.019230769230769232,10.0,2014,Central-West,85980.14888337468,0.039081885856079406,1612000.0,15219608.0
0.060794044665012405,1.032258064516129,0.6271712158808933,1.706575682382134,11.468362282878411,9.826923076923077,264.8802729528536,0.05521091811414392,0.2239454094292804,0.009925558312655087,0.23449131513647642,0.00620347394540943,0.003101736972704715,1.6284119106699753,0.020471464019851116,10.0,2015,Central-West,46339.950372208434,0.04652605459057072,1612000.0,15442232.0
0.05831265508684864,1.0750620347394542,0.6898263027295285,1.7307692307692308,10.107320099255583,9.746898263027296,263.62655086848633,0.05272952853598015,0.24813895781637718,0.009925558312655087,0.21339950372208435,0.00620347394540943,0.003101736972704715,1.738833746898263,0.021712158808933003,10.0,2016,Central-West,228287.841191067,0.06389578163771713,1612000.0,15660988.0
0.057692307692307696,1.088089330024814,0.7779156327543424,1.8027295285359801,10.236352357320099,9.398883374689825,295.85483870967744,0.05086848635235732,0.2803970223325062,0.009925558312655087,0.11042183622828784,0.006823821339950372,0.0037220843672456576,1.7344913151364765,0.026674937965260544,11.0,2017,Central-West,101488.83374689826,0.07444168734491315,1612000.0,15875907.0
